model,score_test,score_val,eval_metric,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
NeuralNetFastAI,0.509090909090909,0.5462555066079295,accuracy,0.05988812446594238,0.01749873161315918,6.810744524002075,0.05988812446594238,0.01749873161315918,6.810744524002075,1,True,8
WeightedEnsemble_L2,0.4991735537190083,0.5572687224669604,accuracy,0.1477062702178955,0.02654433250427246,11.615553617477417,0.013539552688598633,0.0009987354278564453,0.053200721740722656,2,True,12
CatBoost,0.4925619834710744,0.5407488986784141,accuracy,0.029129505157470703,0.002518177032470703,3.503580093383789,0.029129505157470703,0.002518177032470703,3.503580093383789,1,True,5
NeuralNetTorch,0.48925619834710743,0.5330396475770925,accuracy,0.03759193420410156,0.01304483413696289,12.033217191696167,0.03759193420410156,0.01304483413696289,12.033217191696167,1,True,10
LightGBMLarge,0.4859504132231405,0.5418502202643172,accuracy,0.0190582275390625,0.004513978958129883,1.1845059394836426,0.0190582275390625,0.004513978958129883,1.1845059394836426,1,True,11
RandomForestEntr,0.4859504132231405,0.5275330396475771,accuracy,0.16862106323242188,0.0615231990814209,2.359189033508301,0.16862106323242188,0.0615231990814209,2.359189033508301,1,True,4
RandomForestGini,0.4859504132231405,0.5209251101321586,accuracy,0.1925060749053955,0.06253695487976074,1.8134105205535889,0.1925060749053955,0.06253695487976074,1.8134105205535889,1,True,3
LightGBMXT,0.484297520661157,0.5451541850220264,accuracy,0.021508216857910156,0.006406545639038086,6.012124538421631,0.021508216857910156,0.006406545639038086,6.012124538421631,1,True,1
LightGBM,0.4826446280991736,0.5330396475770925,accuracy,0.026086807250976562,0.006649017333984375,0.6691043376922607,0.026086807250976562,0.006649017333984375,0.6691043376922607,1,True,2
ExtraTreesEntr,0.4826446280991736,0.5209251101321586,accuracy,0.20410466194152832,0.06218075752258301,0.6987614631652832,0.20410466194152832,0.06218075752258301,0.6987614631652832,1,True,7
XGBoost,0.4809917355371901,0.5341409691629956,accuracy,0.04514908790588379,0.005528688430786133,1.24802827835083,0.04514908790588379,0.005528688430786133,1.24802827835083,1,True,9
ExtraTreesGini,0.4644628099173554,0.5110132158590308,accuracy,0.2029879093170166,0.06299567222595215,0.7344419956207275,0.2029879093170166,0.06299567222595215,0.7344419956207275,1,True,6
